"Ano";"Tipo de Emenda";"Autor da emenda";"Número da emenda";"Localidade do gasto (Regionalização)";"Função";"Subfunção";"Programa Orçamentário";"Ação Orçamentária";"Plano Orçamentário";"Código da emenda";"Valor empenhado";"Valor liquidado";"Valor pago";"Valor Restos a Pagar Inscritos";"Valor Restos a Pagar Cancelados";"Valor Restos a Pagar Pagos";
"2022";"Emenda Individual - Transferências Especiais";"MARCIO ALVINO";"0006";"SÃO PAULO (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202237170006";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"JUNIO AMARAL";"0016";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202439240016";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0014";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202436920014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0023";"PATY DO ALFERES - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750023";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"SERGIO PETECAO";"0008";"Nacional";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202329140008";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERTA ROMA";"0001";"BAHIA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444620001";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"EDILAZIO JUNIOR";"0008";"CODÓ - MA";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202239680008";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"PASTOR DINIZ";"0012";"RORAIMA (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444410012";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"VINICIUS FARAH";"0003";"PINHEIRAL - RJ";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202240750003";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBINSON FARIA";"0011";"NATAL - RN";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202444650011";"100.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";
"2024";"Emenda Individual - Transferências Especiais";"ROBERIO MONTEIRO";"0017";"MORADA NOVA - CE";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202491620017";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2023";"Emenda Individual - Transferências Especiais";"GENERAL PETERNELLI";"0016";"ITAPIRA - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202339950016";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"SUBTENENTE GONZAGA";"0004";"MINAS GERAIS (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202229940004";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2022";"Emenda Individual - Transferências Especiais";"JOAQUIM PASSARINHO";"0007";"PARÁ (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202236920007";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"ALAN RICK";"0021";"ACRE (UF)";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202330360021";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
"2022";"Emenda Individual - Transferências Especiais";"JEFFERSON CAMPOS";"0020";"ÁGUAS DE SÃO PEDRO - SP";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202215810020";"100.000,00";"0,00";"0,00";"100.000,00";"0,00";"100.000,00";
"2023";"Emenda Individual - Transferências Especiais";"FABIO RAMALHO";"0014";"ARAÇUAÍ - MG";"Encargos especiais";"Outras transferências";"0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"0EC2 - TRANSFERENCIAS ESPECIAIS";"TRANSFERENCIAS ESPECIAIS";"202323680014";"100.000,00";"100.000,00";"100.000,00";"0,00";"0,00";"0,00";
